cityid;cityid_new;pop;pop_log
379;1;1740041;6.24056
380;2;207594;5.317215
381;4;166823;5.222256
382;3;170052;5.230582
383;5;156801;5.195349
384;6;131564;5.119137
385;7;117658;5.070621
386;8;114226;5.057765
387;9;101722;5.007415
388;10;79348;4.899536
389;11;74341;4.871228
390;12;70003;4.845117
391;13;67686;4.830499
392;16;63752;4.804494
393;17;61849;4.791333
394;15;64024;4.806343
395;14;65277;4.81476
396;19;56166;4.749474
397;18;61390;4.788098
398;21;48010;4.681332
399;20;49302;4.692864
1682;46;26250;4.419129
1702;37;30434;4.483359
1722;94;14507;4.161578
1742;28;34810;4.541704
1762;39;29605;4.471365
1782;29;34172;4.53367
1802;74;17101;4.233022
1822;25;37330;4.572058
1842;31;33311;4.522588
1862;33;32385;4.510344
1882;23;40334;4.605671
1902;27;34877;4.542539
1922;86;16133;4.207715
1942;137;10510;4.021603
1962;50;24375;4.386945
1982;48;24906;4.396304
2002;45;26924;4.43014
2003;141;10282;4.012078
2022;69;18565;4.268695
2023;35;31679;4.500772
2042;100;13587;4.133123
2062;24;37778;4.577239
2063;56;20895;4.320043
2082;66;18896;4.27637
2083;63;19510;4.290257
2084;32;32720;4.514813
2102;64;19494;4.289901
2103;26;36467;4.5619
2104;83;16557;4.218982
2105;58;20260;4.30664
2122;106;12590;4.100026
2142;34;32052;4.505855
2143;38;29972;4.476716
2144;22;46522;4.667658
2145;42;28664;4.457337
2146;97;13768;4.138871
2147;44;28427;4.453731
2342;171;8381;3.923296
2343;62;19729;4.295105
2742;77;16959;4.2294
2743;40;29058;4.463266
2744;197;6895;3.838534
2942;65;18968;4.278021
2943;88;15437;4.188563
2944;101;13532;4.131362
3142;59;20259;4.306618
3143;51;23573;4.372415
3342;112;12055;4.081167
3542;96;14255;4.153967
3543;85;16473;4.216773
3742;79;16892;4.227681
3942;41;28910;4.461048
3943;104;12805;4.107379
3944;30;33750;4.528274
3945;168;8666;3.937819
4142;149;9569;3.980867
4143;81;16813;4.225645
4144;55;20910;4.320354
4342;87;15596;4.193013
4542;84;16538;4.218483
4543;120;11642;4.066028
4544;116;11975;4.078276
4742;98;13741;4.138018
4743;67;18627;4.270143
4744;53;23309;4.367524
4942;70;18395;4.2647
5142;150;9522;3.978728
5143;143;10022;4.000955
5144;317;4360;3.639487
5145;75;17007;4.230628
5342;114;11996;4.079036
5343;185;7552;3.878062
5344;127;11367;4.055646
5345;154;9167;3.962227
5346;43;28476;4.454479
5542;119;11676;4.067294
5543;95;14259;4.154089
5742;132;10786;4.03286
5743;191;7232;3.859258
5942;82;16670;4.221936
6142;49;24433;4.387977
6143;153;9227;3.96506
6144;133;10772;4.032296
6145;126;11367;4.055646
6146;57;20305;4.307603
6342;78;16957;4.229349
6343;371;3714;3.569842
6542;239;5811;3.764251
6543;80;16846;4.226497
6742;92;14764;4.169204
6743;47;25020;4.398287
6744;125;11378;4.056066
6745;170;8389;3.92371
6746;111;12410;4.093772
6747;89;15355;4.18625
6942;350;3937;3.595165
7142;60;19980;4.300595
7143;135;10694;4.02914
7144;54;21043;4.323108
7145;316;4375;3.640978
7343;36;31306;4.495627
7542;52;23486;4.370809
7742;122;11460;4.059185
7743;152;9252;3.966236
7942;230;5932;3.773201
7943;173;8292;3.918659
7944;217;6285;3.798305
8142;68;18604;4.269606
8143;73;17337;4.238974
8144;121;11567;4.063221
8145;328;4242;3.627571
8342;286;4735;3.67532
8343;252;5359;3.729084
8344;123;11435;4.058236
8345;175;7971;3.901513
